"Inicial",70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Posicao T para tras",30,3,74,54,-35,-51,-58,-19,6,-3,-32,12,9,3,-886,-3,-48,837,-3
"Gira braco",70,0,74,48,-54,-51,-58,-19,6,-6,-64,9,9,-1572,-886,-3,1572,837,-3
"Posicao T frente",100,2,58,35,-83,-12,-3,-64,12,-3,-83,16,-3,-1572,-3,-3,1550,61,-6
"Dobra braco",100,-16,-64,0,-61,-99,-32,-22,-51,-25,-83,-12,16,-712,-38,-863,676,-19,873
"Dobra perna",70,9,728,-1266,544,-99,-35,-16,734,-1243,557,-9,32,-828,-41,-857,750,-16,873
"Estica braco",30,3,734,-1260,570,-99,-35,-25,737,-1247,570,-9,35,-431,-45,-119,431,-25,32

